amount,currency,researcher
"$454,115 ",USD,"Udell, Madeleine"
"$453,379 ",USD,Thomas Robert Clandinin
"$451,685 ",USD,EDWARD I SOLOMON
"$450,000 ",USD,"Kasevich, Mark"
"$450,000 ",USD,Lars M Steinmetz
"$449,946 ",USD,"Kuo, Chao-Lin"
"$448,186 ",USD,Xiaoke Chen
"$447,000 ",USD,"Shaqfeh, Eric Stefan"
"$439,966 ",USD,Nirao Mahesh Shah
"$439,801 ",USD,Lei Stanley Qi
"$439,147 ",USD,Gerald R. Crabtree
"$437,265 ",USD,Laren Becker
"$436,144 ",USD,Michelle Louise James
"$432,850 ",USD,RUSS BIAGIO ALTMAN
"$432,850 ",USD,Thomas Robert Clandinin
"$425,319 ",USD,ERIC T. KOOL
"$424,980 ",USD,KAREN G HIRSCH
"$416,747 ",USD,Lee Ajin
"$416,252 ",USD,Arghavan Salles
"$415,987 ",USD,Possu Huang
"$409,947 ",USD,National Institutes of Health (NIH)
"$402,791 ",USD,Michael Lim
"$400,000 ",USD,"Wu, Jiajun"
"$400,000 ",USD,"Ma, Tengyu"
"$399,999 ",USD,David Chimin Chan
"$399,790 ",USD,Scott Warren Linderman
"$396,080 ",USD,Lisa Giocomo
"$396,019 ",USD,Lisa Giocomo
"$393,661 ",USD,Andrew J. Beel
"$393,500 ",USD,Vittorio Sebastiano
"$393,500 ",USD,Nazish Sayed
"$393,500 ",USD,XINNAN WANG
"$392,528 ",USD,Feliks Kogan
"$392,460 ",USD,Sui Wang
"$392,124 ",USD,Elizabeth DiRenzo
"$390,366 ",USD,Benjamin H Good
"$390,000 ",USD,"Ryzhik, Leonid"
"$388,800 ",USD,Paul George
"$388,318 ",USD,Gheorghe Chistol
"$388,250 ",USD,IRVING L. WEISSMAN
"£372,610",GBP,"Meir, Patrick"
"$369,646 ",USD,Anusha Kalbasi
"$354,000 ",USD,"Tartakovsky, Daniel"
"$351,416 ",USD,Alan Gi-Lun Cheng
"$341,995 ",USD,Maria Barna
"$337,020 ",USD,"Kennedy, Monroe"
"$335,298 ",USD,Sherri Rose
"$329,868 ",USD,PAUL JOSEPH UTZ
"$329,333 ",USD,National Institutes of Health (NIH)
"$318,100 ",USD,THOMAS James WANDLESS
"$317,573 ",USD,Leonid Ryzhik
"$314,800 ",USD,Mark A. Skylar-Scott
"$310,645 ",USD,"Atwell, Jon"
"$310,300 ",USD,DAVID A. RELMAN
"$307,660 ",USD,"Magaloni, Beatriz"
"$305,410 ",USD,CHRISTOPHER D GARDNER
"$305,228 ",USD,"Hinds, Pamela"
"$303,609 ",USD,"Jaffe, Alexander"
"$303,609 ",USD,"Balch, Halleh"
"$303,000 ",USD,"Kuo, Chao-Lin"
"$300,000 ",USD,"Tan, Li-Yang"
"$300,000 ",USD,"Hong, Guosong"
"$300,000 ",USD,"Fisher, Ian"
"$300,000 ",USD,"Ma, Tengyu"
"$299,998 ",USD,"Bao, Zhenan"
"$295,682 ",USD,"Durumeric, Zakir"
